entidad,nombre_pip,monto_viable,poblacion_ref,tipo,latitud,longitud,ratio_costo,pob_dist,es_marcona,ratio_costo_norm
MUNICIPALIDAD DISTRITAL DE PUINAHUA,CREACION DE BIBLIOTECA MUNICIPAL EN LA LOCALIDAD DE BRETAÑA DEL DISTRITO DE PUINAHUA - PROVINCIA DE REQUENA - DEPARTAMENTO DE LORETO,336931.2,4245,DISTRITAL,-5.266998979458369,-74.35060021204954,79.3713074204947,4245,False,0.044017052391575
MUNICIPALIDAD DISTRITAL DE ALTO SELVA ALEGRE,CREACION DE LOS SERVICIOS BIBLIOTECARIOS EN BIBLIOTECA MUNICIPAL FÍSICO VIRTUAL   DISTRITO DE ALTO SELVA ALEGRE DE LA PROVINCIA DE AREQUIPA DEL DEPARTAMENTO DE AREQUIPA,1321844.63,97995,DISTRITAL,-16.364560296989517,-71.51699570738877,13.488898719322414,97995,False,0.007291424267540085
MUNICIPALIDAD DISTRITAL DE SANTIAGO,MEJORAMIENTO DE LOS SERVICIOS BIBLIOTECARIOS EN LA MUNICIPALIDAD DISTRITAL DE SANTIAGO DEL   DISTRITO DE SANTIAGO DE LA PROVINCIA DE CUSCO DEL DEPARTAMENTO DE CUSCO,2061421.96,108592,DISTRITAL,-13.524095376281808,-71.98509463950212,18.983184396640635,108592,False,0.010354170402212143
MUNICIPALIDAD DISTRITAL DE JAYANCA,CREACION DE LOS SERVICIOS BIBLIOTECARIOS EN BIBLIOTECA MUNICIPAL CAHUIDE  DE CENTRO POBLADO CAHUIDE DISTRITO DE JAYANCA DE LA PROVINCIA DE LAMBAYEQUE DEL DEPARTAMENTO DE LAMBAYEQUE,1093866.77,21350,DISTRITAL,-6.3707611750015785,-79.80223761648197,51.2349775175644,21350,False,0.02833267762201994
MUNICIPALIDAD DISTRITAL DE PAPAPLAYA,CREACION DE LOS SERVICIOS BIBLIOTECARIOS EN LA MUNICIPALIDAD DEL CENTRO POBLADO PAPAPLAYA DISTRITO DE PAPAPLAYA DE LA PROVINCIA DE SAN MARTIN DEL DEPARTAMENTO DE SAN MARTIN,235500.0,1863,DISTRITAL,-6.209377894598147,-75.78228273721686,126.40901771336554,1863,False,0.07023785229975027
MUNICIPALIDAD PROVINCIAL DE OCROS,CREACION DE LOS SERVICIOS BIBLIOTECARIOS EN LA LOCALIDAD DE OCROS   DISTRITO DE OCROS DE LA PROVINCIA DE OCROS DEL DEPARTAMENTO DE ANCASH,1443197.19,6222,PROVINCIAL,-10.403016810840096,-77.39717093564829,231.9506894889103,1140,False,0.12907122323490614
MUNICIPALIDAD PROVINCIAL DE MARISCAL NIETO,MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS BIBLIOTECARIOS EN LA BIBLIOTECA PUBLICA MUNICIPAL DEL   DISTRITO DE MOQUEGUA DE LA PROVINCIA DE MARISCAL NIETO DEL DEPARTAMENTO DE MOQUEGUA,3008432.41,90811,PROVINCIAL,-17.19418632388237,-70.93453691534313,33.12850216383478,39178,False,0.018239366014451995
MUNICIPALIDAD DISTRITAL DE YARABAMBA,CREACION DE LA BIBLIOTECA MUNICIPAL FÍSICO- VIRTUAL  DISTRITO DE YARABAMBA - PROVINCIA DE AREQUIPA - DEPARTAMENTO DE AREQUIPA,3323075.16,1852,DISTRITAL,-16.54689339741517,-71.47599356150765,1794.3170410367172,1852,False,1.0
MUNICIPALIDAD DISTRITAL DE LURIN,"CREACION DE LOS SERVICIOS BIBLIOTECARIOS EN LA MANZANA 12 LOTE BIBL., A.H. NUEVO LURÍN KM. 40 Y ANEXOS ¿ ETAPA PRIMERA, ZONA A,   DISTRITO DE LURIN DE LA PROVINCIA DE LIMA DEL DEPARTAMENTO DE LIMA",2911513.91,121202,DISTRITAL,-12.290027004850398,-76.8534500745444,24.02199559413211,121202,False,0.013163015887289289
MUNICIPALIDAD DISTRITAL DE YURUA,CREACION DE LOS SERVICIOS DE BIBLIOTECA MUNICIPAL EN EL  DISTRITO DE YURUA - PROVINCIA DE ATALAYA - DEPARTAMENTO DE UCAYALI,377211.8,2792,DISTRITAL,-9.526342734905562,-72.75821205322256,135.10451289398281,2792,False,0.07508508737590201
